Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Country
176558,USB-C Charging Cable,2,11.95,04/19/19 08:46,"128 Elm St, Quebec City",CAD
,,,,,"113 Oak St, Ottawa",CAD
176559,Bose SoundSport Headphones,1,99.99,04/07/19 22:30,"116 Elm St, Winnipeg",CAD
176560,Google Phone,1,600,04/12/19 14:38,"149 Broadway, Edmonton",CAD
176560,Wired Headphones,1,11.99,04/12/19 14:38,"121 Maple St, Vancouver",CAD
176561,Wired Headphones,1,11.99,04/30/19 09:27,"123 Cedar Ave, Vancouver",CAD
176562,USB-C Charging Cable,1,11.95,04/29/19 13:03,"119 Maple St, Montreal",CAD
176563,Bose SoundSport Headphones,1,99.99,04/02/19 07:46,"130 Main St, Toronto",CAD
176564,USB-C Charging Cable,1,11.95,04/12/19 10:58,"107 Market St, Calgary",CAD
176565,Macbook Pro Laptop,1,1700,04/24/19 10:38,"101 Sunset Blvd, Montreal",CAD
176566,Wired Headphones,1,11.99,04/08/19 14:05,"107 Pacific Ave, Calgary",CAD
176567,Google Phone,1,600,04/18/19 17:18,"109 Maple St, Hamilton",CAD
176568,Lightning Charging Cable,1,14.95,04/15/19 12:18,"102 Pacific Ave, Vancouver",CAD
176569,27in 4K Gaming Monitor,1,389.99,04/16/19 19:23,"133 Cedar Ave, Edmonton",CAD
176570,AA Batteries (4-pack),1,3.84,04/22/19 15:09,"116 Oak St, Edmonton",CAD
176571,Lightning Charging Cable,1,14.95,04/19/19 14:29,"105 Sunset Blvd, Quebec City",CAD
176572,Apple Airpods Headphones,1,150,04/04/19 20:30,"114 Market St, Vancouver",CAD
176573,USB-C Charging Cable,1,11.95,04/27/19 18:41,"128 Pine St, Winnipeg",CAD
176574,Google Phone,1,600,04/03/19 19:42,"108 Sunset Blvd, Edmonton",CAD
176574,USB-C Charging Cable,1,11.95,04/03/19 19:42,"123 Pine St, Calgary",CAD
176575,AAA Batteries (4-pack),1,2.99,04/27/19 00:30,"146 Sunset Blvd, Hamilton",CAD
176576,Apple Airpods Headphones,1,150,04/28/19 11:42,"147 Maple St, Quebec City",CAD
176577,Apple Airpods Headphones,1,150,04/04/19 19:25,"115 Maple St, Quebec City",CAD
176578,Apple Airpods Headphones,1,150,04/09/19 23:35,"118 Cedar Ave, Toronto",CAD
